Card Family,Parallel,Seq.
1983 Topps Baseball Autographs,Orange Refractor,25
1983 Topps Baseball Autographs,Printing Plate Black,1
1983 Topps Baseball Autographs,Printing Plate Cyan,1
1983 Topps Baseball Autographs,Printing Plate Magenta,1
1983 Topps Baseball Autographs,Printing Plate Yellow,1
1983 Topps Baseball Autographs,Red Refractor,5
1983 Topps Baseball Autographs,SuperFractor,1
1983 Topps Baseball,Green Refractor,99
1983 Topps Baseball,Orange Refractor,25
1983 Topps Baseball,Red Refractor,5
1983 Topps Baseball,SuperFractor,1
Dual Rookie Autographs,Base,25
Dual Rookie Autographs,Red Refractor,5
Dual Rookie Autographs,SuperFractor,1
Freshman Flash Autographs,Base,99
Freshman Flash Autographs,Orange Refractor,25
Freshman Flash Autographs,Printing Plate Black,1
Freshman Flash Autographs,Printing Plate Cyan,1
Freshman Flash Autographs,Printing Plate Magenta,1
Freshman Flash Autographs,Printing Plate Yellow,1
Freshman Flash Autographs,Red Refractor,5
Freshman Flash Autographs,SuperFractor,1
Freshman Flash,Green Refractor,99
Freshman Flash,Orange Refractor,25
Freshman Flash,Red Refractor,5
Freshman Flash,SuperFractor,1
Future Stars Autographs,Base,99
Future Stars Autographs,Orange Refractor,25
Future Stars Autographs,Printing Plate Black,1
Future Stars Autographs,Printing Plate Cyan,1
Future Stars Autographs,Printing Plate Magenta,1
Future Stars Autographs,Printing Plate Yellow,1
Future Stars Autographs,Red Refractor,5
Future Stars Autographs,SuperFractor,1
Future Stars,Green Refractor,99
Future Stars,Orange Refractor,25
Future Stars,Red Refractor,5
Future Stars,SuperFractor,1
Rookie Autographs,Blue Refractor,150
Rookie Autographs,Blue Wave Refractor,150
Rookie Autographs,Gold Refractor,50
Rookie Autographs,Gold Wave Refractor,50
Rookie Autographs,Green Refractor,99
Rookie Autographs,Orange Refractor,25
Rookie Autographs,Printing Plate Black,1
Rookie Autographs,Printing Plate Cyan,1
Rookie Autographs,Printing Plate Magenta,1
Rookie Autographs,Printing Plate Yellow,1
Rookie Autographs,Purple Refractor,250
Rookie Autographs,Red Refractor,5
Rookie Autographs,Red Wave Refractor,5
Rookie Autographs,Refractor,499
Rookie Autographs,SuperFractor,1
Rookie Debut Medallion,Green Refractor,99
Rookie Debut Medallion,Orange Refractor,25
Rookie Debut Medallion,Red Refractor,5
Rookie Debut Medallion,SuperFractor,1
Superstar Sensations,Green Refractor,99
Superstar Sensations,Orange Refractor,25
Superstar Sensations,Red Refractor,5
Superstar Sensations,SuperFractor,1
Superstar Sensations Autographs,Orange Refractor,25
Superstar Sensations Autographs,Printing Plate Black,1
Superstar Sensations Autographs,Printing Plate Cyan,1
Superstar Sensations Autographs,Printing Plate Magenta,1
Superstar Sensations Autographs,Printing Plate Yellow,1
Superstar Sensations Autographs,Red Refractor,5
Superstar Sensations Autographs,SuperFractor,1
Base,Blue Refractor,150
Base,Blue Wave Refractor,75
Base,Gold Refractor,50
Base,Gold Wave Refractor,50
Base,Green Refractor,99
Base,Green Wave Refractor,99
Base,Negative Refractor,
Base,Orange Refractor,25
Base,Pink Refractor,
Base,Printing Plate Black,1
Base,Printing Plate Cyan,1
Base,Printing Plate Magenta,1
Base,Printing Plate Yellow,1
Base,Prism Refractor,
Base,Purple Refractor,299
Base,Red Refractor,5
Base,Red Wave Refractor,5
Base,Refractor,
Base,Sepia Refractor,
Base,SuperFractor,1
Base,X-Fractor,
Base Image Variation,Green Refractor,99
Base Image Variation,Orange Refractor,25
Base Image Variation,Red Refractor,5
Base Image Variation,SuperFractor,1

